Strike,Ticker,TTM_year,TTM_day,Bid_Put,Ask_Put,IVM_Put,Volm_Put,mid_price_Put,spot_price
0.2,VIX 2/19/25 C20,0.131506849,48,3.599999428,3.699999809,97.69841003,51,0.036499996,0.1793
0.2,VIX 2/19/25 C20,0.128767123,47,3.900000572,4,93.87591553,9,0.039500003,0.1613
0.2,VIX 2/19/25 C20,0.120547945,44,3.949999809,4.050000191,96.56720734,186,0.04,0.1604
0.2,VIX 2/19/25 C20,0.117808219,43,3.599999428,3.699999809,101.4090729,219,0.036499996,0.1782
0.2,VIX 2/19/25 C20,0.115068493,42,3.549999237,3.599999428,100.1681213,52,0.035749993,0.177
0.2,VIX 2/19/25 C20,0.109589041,40,2.960000038,3.050000191,103.1675262,20964,0.030050001,0.1954
0.2,VIX 2/19/25 C20,0.101369863,37,3.049999237,3.149999619,103.3205719,31850,0.030999994,0.1919
0.2,VIX 2/19/25 C20,0.098630137,36,3.300000191,3.349999428,105.3631744,208,0.033249998,0.1871
0.2,VIX 2/19/25 C20,0.095890411,35,3.949999809,4.050000191,102.0727921,1439,0.04,0.1612
0.2,VIX 2/19/25 C20,0.093150685,34,3.899999619,4,101.6386185,105,0.039499998,0.166
0.2,VIX 2/19/25 C20,0.090410959,33,3.899999619,3.949999809,105.0788422,430,0.039249997,0.1597
0.2,VIX 2/19/25 C20,0.079452055,29,4.349999428,4.449999809,111.5007477,1883,0.043999996,0.151
0.2,VIX 2/19/25 C20,0.076712329,28,4.149999619,4.25,111.8384857,59,0.041999998,0.151
0.2,VIX 2/19/25 C20,0.073972603,27,4.349999428,4.449999809,112.9634552,95,0.043999996,0.1502
0.2,VIX 2/19/25 C20,0.071232877,26,4.449999809,4.5,117.7426453,508,0.044749999,0.1485
0.2,VIX 2/19/25 C20,0.063013699,23,3.75,3.849999428,126.711586,16160,0.037999997,0.179
0.2,VIX 2/19/25 C20,0.060273973,22,3.949999809,4.050000191,120.2590485,514,0.04,0.1641
0.2,VIX 2/19/25 C20,0.057534247,21,3.849999428,4,120.701355,421,0.039249997,0.1656
0.2,VIX 2/19/25 C20,0.054794521,20,4.050000191,4.149999619,121.2485352,623,0.040999999,0.1584
0.2,VIX 2/19/25 C20,0.052054795,19,3.600000381,3.699999809,120.9546814,572,0.036500001,0.1643
0.2,VIX 2/19/25 C20,0.043835616,16,3.199999809,3.300000191,131.5081329,1037,0.0325,0.1862
0.2,VIX 2/19/25 C20,0.04109589,15,3.400000572,3.5,120.903511,470,0.034500003,0.1721
0.2,VIX 2/19/25 C20,0.038356164,14,3.75,3.849999428,121.7224121,526,0.037999997,0.1577
0.2,VIX 2/19/25 C20,0.035616438,13,3.849999428,3.949999809,124.4696426,63,0.038999996,0.155
0.2,VIX 2/19/25 C20,0.032876712,12,3.300000191,3.350000381,127.0925827,858,0.033250003,0.1654
0.2,VIX 2/19/25 C20,0.024657534,9,3.650000572,3.75,139.2733765,8386,0.037000003,0.1581
0.2,VIX 2/19/25 C20,0.021917808,8,3.550000191,3.650000572,135.3084717,72,0.036000004,0.1602
0.2,VIX 2/19/25 C20,0.019178082,7,3.399999619,3.5,126.1299133,66,0.034499998,0.1589
0.2,VIX 2/19/25 C20,0.016438356,6,3.949999809,4.050000191,133.6094208,182,0.04,0.151
0.2,VIX 2/19/25 C20,0.01369863,5,4,4.100000381,140.5529022,195,0.040500002,0.1477
0.2,VIX 2/19/25 C20,0.002739726,1,4.350000381,4.449999809,324.0159302,119,0.044000001,0.1535
